"Date","Time","Longitude","Latitude"
"27/03/2020","12:07:08.00",-38.0653171,-54.0092389
"27/03/2020","12:07:09.00",-38.0653171,-54.0092389
"27/03/2020","12:07:10.00",-38.0653171,-54.0092389
"27/03/2020","12:07:11.00",-38.0653171,-54.0092389
"27/03/2020","12:07:12.00",-38.0653171,-54.0092389
"27/03/2020","12:07:13.00",-38.0653171,-54.0092389
"27/03/2020","12:07:14.00",-38.0653171,-54.0092389
"27/03/2020","12:07:15.00",-38.0653171,-54.0092389
"27/03/2020","12:07:16.00",-38.0653171,-54.0092389
"27/03/2020","12:07:17.00",-38.0653171,-54.0092389
"27/03/2020","12:07:18.00",-38.0653171,-54.0092389
"27/03/2020","12:07:19.00",-38.0653171,-54.0092389
"27/03/2020","12:07:20.00",-38.0653171,-54.0092389
"27/03/2020","12:07:21.00",-38.0653171,-54.0092389
"27/03/2020","12:07:22.00",-38.0653171,-54.0092389
"27/03/2020","12:07:23.00",-38.0653171,-54.0092389
"27/03/2020","12:07:24.00",-38.0653171,-54.0092389
"27/03/2020","12:07:25.00",-38.0653171,-54.0092389
"27/03/2020","12:07:26.00",-38.0653171,-54.0092389
"27/03/2020","12:07:27.00",-38.0653171,-54.0092389
"27/03/2020","12:07:28.00",-38.0653171,-54.0092389
"27/03/2020","12:07:29.00",-38.0653171,-54.0092389
"27/03/2020","12:07:30.00",-38.0653171,-54.0092389
"27/03/2020","12:07:31.00",-38.0653171,-54.0092389
"27/03/2020","12:07:32.00",-38.0653171,-54.0092389
"27/03/2020","12:07:33.00",-38.0653171,-54.0092389
"27/03/2020","12:07:34.00",-38.0653171,-54.0092389
"27/03/2020","12:07:35.00",-38.0653171,-54.0092389
"27/03/2020","12:07:36.00",-38.0653171,-54.0092389
"27/03/2020","12:07:37.00",-38.0653171,-54.0092389
"27/03/2020","12:07:38.00",-38.0653171,-54.0092389
"27/03/2020","12:07:39.00",-38.0653172,-54.0092389
"27/03/2020","12:07:40.00",-38.0653172,-54.0092389
"27/03/2020","12:07:41.00",-38.0653172,-54.0092389
"27/03/2020","12:07:42.00",-38.0653172,-54.0092389
"27/03/2020","12:07:43.00",-38.0653172,-54.0092389
"27/03/2020","12:07:44.00",-38.0653172,-54.0092389
"27/03/2020","12:07:45.00",-38.0653172,-54.0092389
"27/03/2020","12:07:46.00",-38.0653172,-54.0092389
"27/03/2020","12:07:47.00",-38.0653172,-54.0092388
"27/03/2020","12:07:48.00",-38.0653172,-54.0092388
"27/03/2020","12:07:49.00",-38.0653172,-54.0092388
"27/03/2020","12:07:50.00",-38.0653172,-54.0092388
"27/03/2020","12:07:51.00",-38.0653172,-54.0092388
"27/03/2020","12:07:52.00",-38.0653172,-54.0092388
"27/03/2020","12:07:53.00",-38.0653172,-54.0092388
"27/03/2020","12:07:54.00",-38.0653172,-54.0092388
"27/03/2020","12:07:55.00",-38.0653172,-54.0092388
"27/03/2020","12:07:56.00",-38.0653172,-54.0092388
"27/03/2020","12:07:57.00",-38.0653172,-54.0092388
"27/03/2020","12:07:58.00",-38.0653172,-54.0092388
"27/03/2020","12:07:59.00",-38.0653172,-54.0092388
"27/03/2020","12:08:00.00",-38.0653172,-54.0092388
"27/03/2020","12:08:01.00",-38.0653172,-54.0092388
"27/03/2020","12:08:02.00",-38.0653172,-54.0092388
"27/03/2020","12:08:03.00",-38.0653172,-54.0092388
"27/03/2020","12:08:04.00",-38.0653172,-54.0092388
"27/03/2020","12:08:05.00",-38.0653172,-54.0092388
"27/03/2020","12:08:06.00",-38.0653172,-54.0092388
"27/03/2020","12:08:07.00",-38.0653172,-54.0092388
"27/03/2020","12:08:08.00",-38.0653172,-54.0092388
"27/03/2020","12:08:09.00",-38.0653172,-54.0092388
"27/03/2020","12:08:10.00",-38.0653172,-54.0092388
"27/03/2020","12:08:11.00",-38.0653172,-54.0092388
"27/03/2020","12:08:12.00",-38.0653172,-54.0092388
"27/03/2020","12:08:13.00",-38.0653172,-54.0092388
"27/03/2020","12:08:14.00",-38.0653172,-54.0092388
"27/03/2020","12:08:15.00",-38.0653172,-54.0092388
"27/03/2020","12:08:16.00",-38.0653172,-54.0092388
"27/03/2020","12:08:17.00",-38.0653172,-54.0092388
"27/03/2020","12:08:18.00",-38.0653172,-54.0092388
"27/03/2020","12:08:19.00",-38.0653172,-54.0092388
"27/03/2020","12:08:20.00",-38.0653172,-54.0092388
"27/03/2020","12:08:21.00",-38.0653172,-54.0092388
"27/03/2020","12:08:22.00",-38.0653172,-54.0092388
"27/03/2020","12:08:23.00",-38.0653172,-54.0092388
"27/03/2020","12:08:24.00",-38.0653172,-54.0092388
"27/03/2020","12:08:25.00",-38.0653172,-54.0092388
"27/03/2020","12:08:26.00",-38.0653172,-54.0092388
"27/03/2020","12:08:27.00",-38.0653172,-54.0092388
"27/03/2020","12:08:28.00",-38.0653172,-54.0092388
"27/03/2020","12:08:29.00",-38.0653172,-54.0092388
"27/03/2020","12:08:30.00",-38.0653172,-54.0092388
"27/03/2020","12:08:31.00",-38.0653172,-54.0092388
"27/03/2020","12:08:32.00",-38.0653172,-54.0092388
"27/03/2020","12:08:33.00",-38.0653172,-54.0092388
"27/03/2020","12:08:34.00",-38.0653172,-54.0092388
"27/03/2020","12:08:35.00",-38.0653172,-54.0092388
"27/03/2020","12:08:36.00",-38.0653173,-54.0092388
"27/03/2020","12:08:37.00",-38.0653173,-54.0092388
"27/03/2020","12:08:38.00",-38.0653173,-54.0092388
"27/03/2020","12:08:39.00",-38.0653173,-54.0092388
"27/03/2020","12:08:40.00",-38.0653173,-54.0092388
"27/03/2020","12:08:41.00",-38.0653173,-54.0092388
"27/03/2020","12:08:42.00",-38.0653173,-54.0092388
"27/03/2020","12:08:43.00",-38.0653173,-54.0092388
"27/03/2020","12:08:44.00",-38.0653173,-54.0092388
"27/03/2020","12:08:45.00",-38.0653173,-54.0092388
"27/03/2020","12:08:46.00",-38.0653173,-54.0092388
"27/03/2020","12:08:47.00",-38.0653173,-54.0092388
"27/03/2020","12:08:48.00",-38.0653173,-54.0092388
"27/03/2020","12:08:49.00",-38.0653173,-54.0092388
"27/03/2020","12:08:50.00",-38.0653173,-54.0092388
"27/03/2020","12:08:51.00",-38.0653173,-54.0092388
"27/03/2020","12:08:52.00",-38.0653173,-54.0092388
